
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
14.0,32049.2064,800,40.0615,20.2031,19.1615,502.6288,94.0614,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN
7.0,16025.7502,1920,8.3467,6.4798,3.2120,29.9971,6.5312,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_TNN
6.8,15532.4297,256,60.6736,23.1650,0.0334,620.1587,93.0601,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
6.1,14007.4462,80,175.0931,2.3245,0.0128,1060.3300,281.2002,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
4.6,10623.8307,3232,3.2871,0.8896,0.1511,28.1607,5.5200,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_NNN
4.1,9497.6822,1888,5.0306,5.7003,0.8669,8.5341,2.7008,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_bias_TNN
3.6,8362.2047,2016,4.1479,1.0192,1.0143,25.0568,6.3779,"fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::bfloat16_t, cutlass::arch::Sm80, (bool)1, (int)64, (int)128, (int)128, (bool)1, (bool)1>::Params)"
3.5,7951.4409,2856,2.7841,0.2294,0.2128,28.2134,5.8530,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_bias_TNN
3.4,7755.1064,4000,1.9388,1.8713,1.6612,3.0476,0.2677,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN
2.8,6404.8072,31744,0.2018,0.1924,0.1862,1.2547,0.0759,artiSolveInternalConstraintsTGS1T
2.8,6315.0081,864,7.3090,6.9446,6.9017,8.3815,0.4231,nvjet_tst_160x192_64x4_1x2_h_bz_coopB_bias_TNN
2.7,6242.6061,36344,0.1718,0.0552,0.0014,2.5826,0.2936,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.0,4581.2206,1152,3.9768,0.8600,0.8446,28.9009,8.4550,nvjet_tst_128x192_64x5_2x1_v_bz_coopB_NTN
1.9,4295.4426,136,31.5841,31.6966,30.0124,32.4349,0.4673,nvjet_tst_192x208_64x4_2x1_v_bz_coopB_TNT
1.8,4189.7966,3264,1.2836,1.2273,1.2203,2.3395,0.2028,nvjet_tst_192x176_64x4_2x1_v_bz_coopB_TNT
1.7,3952.9667,512,7.7206,7.3796,7.2754,8.8246,0.4207,nvjet_tst_128x160_64x5_2x1_v_bz_NTT
1.6,3608.5051,18360,0.1965,0.1224,0.1200,1.5562,0.1624,nvjet_tst_144x128_64x6_1x2_h_bz_coopA_bias_TNN
1.6,3580.2771,192,18.6473,27.4172,0.0115,28.8818,13.1248,nvjet_tst_192x128_64x5_1x2_h_bz_coopB_NTT
1.6,3578.3909,4896,0.7309,0.4213,0.4185,2.3573,0.4347,nvjet_tst_256x144_64x4_1x2_h_bz_coopA_TNT
1.5,3496.2441,128,27.3144,27.4228,26.0007,28.3062,0.4968,nvjet_tst_192x192_64x4_1x1_v_bz_coopB_bias_TNN
1.5,3486.5087,128,27.2383,27.2784,25.9104,31.3252,0.5971,nvjet_tst_192x192_64x3_1x1_v_bz_coopB_NNN
1.5,3452.8613,27672,0.1248,0.0389,0.0025,2.3765,0.2811,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.5,3413.3207,128,26.6666,26.8374,25.1894,27.6921,0.6002,"void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Flash_bwd_kernel_traits<(int)64, (int)128, (int)128, (int)8, (int)4, (int)4, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)8, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(pytorch_flash::Flash_bwd_params)"
1.4,3212.0317,28040,0.1146,0.0357,0.0020,2.4207,0.2791,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.2,2788.7326,512,5.4467,4.9211,4.8495,10.2254,1.0297,nvjet_tst_128x128_64x6_1x2_h_bz_splitK_NTT
1.2,2784.9322,8704,0.3200,0.3122,0.3094,1.4217,0.0774,nvjet_tst_192x176_64x4_2x1_v_bz_coopB_bias_TNT
1.0,2227.6450,4536,0.4911,0.1278,0.1272,3.0110,0.7472,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
0.9,2000.3569,9384,0.2132,0.0668,0.0015,2.2494,0.3822,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
